product_id,product_name,product_price,effective_start_date,effective_end_date,current_ind
692,AAA Batteries (4-pack),3.49,1900-01-01,2019-01-31,N
953,Apple Airpods Headphones,179,2019-06-01,2019-09-30,N
953,Apple Airpods Headphones,150,2019-10-01,2019-11-30,N
953,Apple Airpods Headphones,165,2019-03-01,2019-05-31,N
953,Apple Airpods Headphones,179,1900-01-01,2019-02-28,N
435,Golf Handheld GPS Caddie,399,2019-03-01,2019-04-30,N
435,Golf Handheld GPS Caddie,405,2019-05-01,2019-08-31,N
435,Golf Handheld GPS Caddie,410,1900-01-01,2019-02-28,N
435,Golf Handheld GPS Caddie,379,2019-09-01,2019-11-30,N
981,Lightning Charging Cable,16,1900-01-01,2019-01-31,N
981,Lightning Charging Cable,12.99,2019-04-01,2019-05-31,N
981,Lightning Charging Cable,15.99,2019-08-01,2019-09-30,N
981,Lightning Charging Cable,13.99,2019-11-01,2019-11-30,N
981,Lightning Charging Cable,12.99,2019-10-01,2019-10-31,N
981,Lightning Charging Cable,14.99,2019-02-01,2019-02-28,N
981,Lightning Charging Cable,14,2019-06-01,2019-07-31,N
981,Lightning Charging Cable,13.99,2019-03-01,2019-03-31,N
467,Bose SoundSport Headphones,140,1900-01-01,2019-02-28,N
467,Bose SoundSport Headphones,114.99,2019-10-01,2019-11-30,N
467,Bose SoundSport Headphones,119.99,2019-03-01,2019-05-31,N
467,Bose SoundSport Headphones,135,2019-08-01,2019-09-30,N
467,Bose SoundSport Headphones,124.99,2019-06-01,2019-07-31,N
582,iPhone,620,2019-12-01,9999-12-31,Y
216,LG Dryer,550,2019-12-01,9999-12-31,Y
168,20in Monitor,99.99,2019-12-01,9999-12-31,Y
614,Google Phone,550,2019-12-01,9999-12-31,Y
394,Flatscreen TV,250,2019-12-01,9999-12-31,Y
826,ThinkPad Laptop,929,2019-12-01,9999-12-31,Y
443,27in FHD Monitor,109,2019-12-01,9999-12-31,Y
277,Wired Headphones,11.99,2019-12-01,9999-12-31,Y
968,LG Washing Machine,495,2019-12-01,9999-12-31,Y
422,Macbook Pro Laptop,1649,2019-12-01,9999-12-31,Y
715,USB-C Charging Cable,10.99,2019-12-01,9999-12-31,Y
406,AA Batteries (4-pack),4.29,2019-12-01,9999-12-31,Y
877,27in 4K Gaming Monitor,359.99,2019-12-01,9999-12-31,Y
493,34in Ultrawide Monitor,399.99,2019-12-01,9999-12-31,Y
692,AAA Batteries (4-pack),2.89,2019-12-01,9999-12-31,Y
953,Apple Airpods Headphones,139,2019-12-01,9999-12-31,Y
435,Golf Handheld GPS Caddie,350,2019-12-01,9999-12-31,Y
981,Lightning Charging Cable,10.99,2019-12-01,9999-12-31,Y
467,Bose SoundSport Headphones,104.99,2019-12-01,9999-12-31,Y
